Sno,Name,Star Cast,Year
1,Momento,"Guy pearce, Carrie-Anne",2000
2,Brave Heart,"Mel Gibson,Sophie Marceau",1995
3,Slumdog Millionaire,"Freida Pinto,Dev Patel",2008
4,Brokeback Mountain,"Jake Gyllanhaal,Heath Ledger",2005
5,Almost Famous,"Billy Gudup,Kate Hudson",2000
6,The Lion King,"Mathew Broderick,Jeremy",1994
7,THe Dark Knight,"Christian Bale,Heath Ledger",2008
8,Rear Window,"James Stewart,Grace Kelly",1954
9,The Matrix,"Keanu Reeves,Laurance Fishburne",1999
10,Fight Club,"Brad Pitt,Edward Norton",1999
11,American Beauty,"Annette Bening,Kevin Spacey",1999
12,The Godfather,"Marlon Brando,James Caan",1972
13,Downtown Abbey,"Imelda Staunton,Geraldine James",2019
14,The Gold Finch,"Ansel Elgort , Oakes Fegley",2019
15,Whiplash,"Miles Teller, J.K. Simmons",2014
16,Interstellar,"Christopher Nolan, Anne Hathaway",2014
17,Gone Girl,"Ben Affleck, Tyler Perry",2014
18,Birdman,"Michael Keaton, Edward Nortan",2014
19,THe lego Movie,"Dave Franco, Ralph Fiennes",2014
20,Captain America ,"Chris Evans, Hugo Weaving",2014
21,Boyhood,"Ethan Hawke, Patricia Arquette",2014
22,Foxcatcher,"Steve Carell, Channing Tatum",2014
23,Non-Stop,"Liam Neeson, Julianne Moore",2014
24,American Sniper,"Bradley Cooper, Sienna Miller",2014
25,Fuery,"Brad Pitt, Shia LaBeouf",2014
26,Unbroken,"Angelina Jolie, Garradd Hedlund",2014
27,Selma,"Tessa Thompson, Lakeith Stanfield",2014
28,Maleficent,"Linda Woolverton, Sharlto Copley",2014
29,Lucy,"Scarlett Johansson, Amr Waked",2014
30,Inherent Vice,"Josh Brolin, Owen Wilson",2014
