Sno,Name,Starcast,Year
1,Prem Ratan Dhan Payo,"Salman Khan, Sonam Kapoor",2015
2,Dum laga ke haisha,"Bhumi Pednekar, Ayushman Khurrana",2015
3,Hamari Adhuri Kahani,"Emraan Hashmi, Vidy Balan",2014
4,Shaadi ke side effects,"Farhan Akhtar, Vidya Balan",2014
5,Yeh Jawani hai Deewani,"Ranbir Kapoor, Deepika Padukone",2013
6,Bhaag Milkha Bhaag,"Farhan Akhtar, Sonam Kapoor",2013
7,Gangs of Wasseypur,"Manoj Bajpayee, Richa Chadha",2012
8,Jab tak hai jaan,"Shahrukh Khan, Katrina kaif",2012
9,Gali Gali Chor hai,"Akshaye Khanna, Annu Kapoor",2012
10,Pyaar ka Punchnama,"Kartik Aryan, Nusrat Bharucha",2011
11,Bin bulaye barati,"Naushaad Abbas, Gulshan Grover",2011
12,Tanu weds Manu,"Madhavan, Kangana Ranaut",2011
13,Dil bole Hadippa,"Shahid Kapoor, Rani Mukherji",2009
14,Rab ne bana di jodi,"Shahrukh Khan, Anushka Sharma",2008
15,Paan Singh Tomar,"Irrfan Khan, Mahie Gill",2012
16,Mujhse Shaadi Karogi,"Salman Khan, Akshay Kumar",2009
17,Koi mil gaya,"Rekh, Hrithik Roshan",2003
18,Batti gul meter chalu,"Shahid Kapoor, Shraddha Kapoor",2018
19,Main hoon na,"Shahrukh Khan, Sushmita Sen",2009
20,Dil dhadakne do,"Ranveer Singh, Priyanka Chopra",2015
21,The sky is pink,"Priyanka Chopra, Farhan Akhtar",2019
22,Total Dhamaal,"Ajay Devgn, Madhuri Dixit",2019
23,The Zoya Factor,"Sonam Kapoor, Dilquer Salman",2019
24,Made in China,"Rajkumar Rao, Mouni Roy",2019
25,thackeray,"Nawazuddin Siddiqui, Amrita Rao",2019
26,Judgementall hai kya,"Kangana Ranaut, Rajkumar Rao",2019
27,Arjun Patiala,"Diljit Dosanjh, Kriti Sanon",2019
28,Good Newwz,"Akshay Kumar, Diljit Dosanjh",2019
29,Khandaani Shafakhana,"Sonakshi Sinha, Badshah",2019
30,Batla House,"John Abraham, Mrunal Thakur",2019
